Nome de uma definição de BAdI;Ponto de ampliação;Descrição;
/ACCGO/CAS_BADI_STL_COMM;/ACCGO/CMN_ES_CAS_STL_DOC;BADI para comunicar dados de liquidação a sistemas externos;
/ACCGO/CAS_BADI_STL_CR;/ACCGO/CAS_ES_STL_INVOICE;;
/ACCGO/CAS_BADI_STL_DOCUMENT;/ACCGO/CMN_ES_CAS_STL;Definição de BAdI para documento de liquidação;
/ACCGO/CAS_BADI_STL_EVTREG;/ACCGO/CAS_ES_REVREC;BAdI para o registro de evento de liquidação;
/ACCGO/CAS_BADI_STL_INVOICE;/ACCGO/CAS_ES_STL_INVOICE;BAdI para centro de lucro e divisão: faturamento;
/ACCGO/CAS_BADI_STL_NON_BR;/ACCGO/CMN_ES_CAS_STL_DOC;BAdI para lançamento não BR;
/ACCGO/CAS_BADI_STL_NON_BR_NEW;/ACCGO/CMN_ES_CAS_STL_DOC;;
/ACCGO/CAS_BADI_STL_NS_W_MATCH;/ACCGO/CAS_ES_STL_NS_WASHOUT;;
/ACCGO/CAS_BADI_STL_NS_W_NONBR;/ACCGO/CAS_ES_STL_NS_WASHOUT;;
/ACCGO/CAS_BADI_STL_NS_WASHOUT;/ACCGO/CAS_ES_STL_NS_WASHOUT;BAdI para washout de liquidação não padrão;
/ACCGO/CAS_BADI_STL_PRC_EXT;/ACCGO/CCK_ES_PROV_PRICING;;
/ACCGO/CAS_BADI_STL_PRC_ROUND;/ACCGO/CAS_ES_STL_PRC_ROUND;Definição de BAdI para arredondamento de preço de liquidação;
/ACCGO/CAS_BADI_STL_SEP_INV;/ACCGO/CAS_ES_STL_INVOICE;BAdI: fatura separada de liquidação de pagamento prévio;
/ACCGO/CAS_BADI_STOA_Q_UPDATE;/ACCGO/CAS_ES_STORAGE;;
/ACCGO/CAS_BADI_VALDT_STL;/ACCGO/CAS_ES_STL_INVOICE;;
/ACCGO/CAS_BR_CMGL_BL;/ACCGO/CAS_ES_BR_CMGL_BL;BRASIL: processamento de armazenagem;
/ACCGO/CAS_BR_CMGL_GRP_REVERSE;/ACCGO/CAS_ES_BR_CMGL_BL;BRASIL: estorno do grupo misto;
/ACCGO/CAS_BR_CMGL_UI;/ACCGO/CAS_ES_BR_CMGL_UI;BRASIL: processamento de armazenagem;
/ACCGO/CAS_BR_UIS_OE;/ACCGO/CAS_ES_BR_UIS_OE;BRASIL: ampliações EDC/OE: só interno à SAP;
/ACCGO/CAS_COPY_ORDER_PTC;/ACCGO/CMN_ES_COPY_ORDER_PTC;;
/ACCGO/CAS_SPOT_AO_CHG_VAL_PNT;/ACCGO/CAS_ES_SPOT_AO;Definição de BAdI para substituir ponto de avaliação no cont;
/ACCGO/CAS_SPOT_AO_FILL_WBHK;/ACCGO/CAS_ES_SPOT_AO;BAdI para preencher a estrutura WBHK;
/ACCGO/CAS_STL_DPQS_HANDLE;/ACCGO/CCK_ES_HANDLE_DPQS;;
/ACCGO/CCK_BADI_ADJUSTMENT_TXT;/ACCGO/CMN_ES_MASTER_DATA;Gerar texto de ajuste;
